x_utm,y_utm,lon,lat,height_m,crown_radius_m,bucket
552918.38,4161510.09,-122.4005178,37.599148,30.0,12.1,tall
551763.38,4162078.09,-122.4135614,37.6043332,30.0,13.2,tall
552326.38,4161955.09,-122.4071921,37.6031927,30.0,11.3,tall
551904.38,4161230.09,-122.4120242,37.5966822,29.9,9.2,tall
552987.38,4163123.09,-122.3996194,37.613682,29.9,12.2,tall
552926.38,4163080.09,-122.4003136,37.613298,29.9,10.9,tall
551411.38,4163141.09,-122.4174743,37.6139338,29.8,1.6,tall
552194.38,4161676.09,-122.4087074,37.6006856,29.8,11.7,tall
552328.38,4161947.09,-122.40717,37.6031205,29.8,12.1,tall
551423.38,4163141.09,-122.4173384,37.6139331,29.8,6.5,tall
552798.38,4162343.09,-122.4018171,37.6066628,29.8,8.3,tall
552780.38,4162352.09,-122.4020203,37.6067449,29.7,8.0,tall
551282.38,4163091.09,-122.4189394,37.6134903,29.6,14.0,tall
551249.38,4161116.09,-122.4194517,37.5956914,29.5,13.8,tall
552170.38,4161747.09,-122.4089742,37.6013269,29.4,7.7,tall
551310.38,4162754.09,-122.4186458,37.6104514,29.4,6.3,tall
551897.38,4161260.09,-122.4121013,37.596953,29.3,6.4,tall
551737.38,4162502.09,-122.4138259,37.6081562,29.3,14.0,tall
551789.38,4161406.09,-122.4133144,37.598275,29.2,8.7,tall
552529.38,4161422.09,-122.4049307,37.5983772,29.2,10.2,tall
551803.38,4162119.09,-122.4131053,37.6047005,29.2,14.0,tall
551896.38,4161242.09,-122.4121139,37.5967908,29.2,7.7,tall
552099.38,4161288.09,-122.4098112,37.5971939,29.1,14.0,tall
551900.38,4161285.09,-122.4120656,37.5971781,29.1,11.3,tall
551911.38,4161257.09,-122.411943,37.5969251,29.0,11.3,tall
552941.38,4163068.09,-122.4001445,37.613189,29.0,10.0,tall
551812.38,4161218.09,-122.4130671,37.5965792,28.9,8.9,tall
552141.38,4161894.09,-122.4092922,37.6026534,28.8,10.0,tall
552014.38,4161628.09,-122.4107499,37.6002631,28.8,13.6,tall
551193.38,4161114.09,-122.4200861,37.5956765,28.7,10.4,tall
551244.38,4161266.09,-122.4194978,37.5970437,28.7,14.0,tall
551875.38,4161372.09,-122.4123426,37.5979637,28.5,12.3,tall
551904.38,4161259.09,-122.4120221,37.5969436,28.5,4.5,tall
551549.38,4162309.09,-122.4159694,37.6064272,28.4,9.9,tall
551775.38,4162042.09,-122.413428,37.604008,28.4,9.3,tall
552933.38,4163071.09,-122.400235,37.6132165,28.4,6.3,tall
552908.38,4162145.09,-122.4005852,37.6048719,28.4,13.7,tall
552779.38,4161179.09,-122.4021163,37.5961727,28.3,8.9,tall
551804.38,4162614.09,-122.4130589,37.6091619,28.3,12.3,tall
552760.38,4161201.09,-122.4023299,37.5963721,28.3,7.5,tall
551516.38,4163054.09,-122.4162908,37.6131438,28.3,14.0,tall
551976.38,4162307.09,-122.4111321,37.6063851,28.2,8.6,tall
552942.38,4163141.09,-122.4001279,37.6138469,28.1,11.0,tall
551971.38,4162307.09,-122.4111887,37.6063854,28.1,13.1,tall
552120.38,4161518.09,-122.4095569,37.5992657,28.1,14.0,tall
551966.38,4162312.09,-122.411245,37.6064308,28.0,7.7,tall
552725.38,4161163.09,-122.4027291,37.5960316,27.9,10.7,tall
551819.38,4161937.09,-122.4129369,37.6030592,27.9,12.2,tall
551825.38,4161419.09,-122.4129057,37.5983901,27.8,8.7,tall
552861.38,4162447.09,-122.4010958,37.6075965,27.8,9.7,tall
551240.38,4162548.09,-122.4194533,37.6085986,27.8,14.0,tall
551507.38,4162424.09,-122.4164371,37.6074661,27.8,7.0,tall
551707.38,4162502.09,-122.4141658,37.6081579,27.7,10.9,tall
551820.38,4161206.09,-122.4129774,37.5964706,27.7,5.9,tall
551506.38,4162406.09,-122.4164497,37.6073039,27.6,3.9,tall
551753.38,4162480.09,-122.4136462,37.607957,27.6,14.0,tall
551776.38,4161228.09,-122.4134742,37.5966714,27.6,12.7,tall
551339.38,4161298.09,-122.4184194,37.5973268,27.5,7.7,tall
551623.38,4161219.09,-122.415208,37.5965988,27.5,9.1,tall
551920.38,4162213.09,-122.4117732,37.6055411,27.5,13.7,tall
552553.38,4162245.09,-122.4045997,37.6057935,27.3,6.8,tall
551305.38,4162805.09,-122.4186989,37.6109113,27.3,9.6,tall
552738.38,4161164.09,-122.4025818,37.5960399,27.3,6.0,tall
553098.38,4161557.09,-122.3984754,37.5995613,27.2,9.0,tall
